Depth,Temp,Profile,Latitude
0.67,25.54,X140709N14.txt,33.797666666666665
1.34,25.54,X140709N14.txt,33.797666666666665
2.01,25.54,X140709N14.txt,33.797666666666665
2.68,25.54,X140709N14.txt,33.797666666666665
3.34,25.53,X140709N14.txt,33.797666666666665
4.01,25.52,X140709N14.txt,33.797666666666665
4.68,25.51,X140709N14.txt,33.797666666666665
21.39,25.43,X140709N14.txt,33.797666666666665
22.06,25.42,X140709N14.txt,33.797666666666665
41.4,25.3,X140709N14.txt,33.797666666666665
77.31,25.17,X140709N14.txt,33.797666666666665
77.98,25.15,X140709N14.txt,33.797666666666665
78.64,25.15,X140709N14.txt,33.797666666666665
79.3,25.15,X140709N14.txt,33.797666666666665
79.97,25.14,X140709N14.txt,33.797666666666665
82.62,25.02,X140709N14.txt,33.797666666666665
83.29,24.94,X140709N14.txt,33.797666666666665
83.95,24.88,X140709N14.txt,33.797666666666665
84.61,24.82,X140709N14.txt,33.797666666666665
85.28,24.72,X140709N14.txt,33.797666666666665
85.94,24.61,X140709N14.txt,33.797666666666665
86.6,24.39,X140709N14.txt,33.797666666666665
87.27,24.18,X140709N14.txt,33.797666666666665
87.93,24.03,X140709N14.txt,33.797666666666665
88.59,23.87,X140709N14.txt,33.797666666666665
89.26,23.69,X140709N14.txt,33.797666666666665
89.92,23.46,X140709N14.txt,33.797666666666665
90.58,23.23,X140709N14.txt,33.797666666666665
91.24,23.09,X140709N14.txt,33.797666666666665
91.91,22.93,X140709N14.txt,33.797666666666665
92.57,22.84,X140709N14.txt,33.797666666666665
93.23,22.8,X140709N14.txt,33.797666666666665
93.9,22.77,X140709N14.txt,33.797666666666665
94.56,22.75,X140709N14.txt,33.797666666666665
95.22,22.73,X140709N14.txt,33.797666666666665
95.88,22.71,X140709N14.txt,33.797666666666665
96.55,22.66,X140709N14.txt,33.797666666666665
97.21,22.63,X140709N14.txt,33.797666666666665
97.87,22.56,X140709N14.txt,33.797666666666665
98.53,22.49,X140709N14.txt,33.797666666666665
99.2,22.46,X140709N14.txt,33.797666666666665
99.86,22.44,X140709N14.txt,33.797666666666665
100.52,22.41,X140709N14.txt,33.797666666666665
101.18,22.38,X140709N14.txt,33.797666666666665
101.85,22.29,X140709N14.txt,33.797666666666665
102.51,22.17,X140709N14.txt,33.797666666666665
103.17,22.05,X140709N14.txt,33.797666666666665
