file,Date,Latitude_str,Longitude_str,Latitude
X140721N01.txt,07/21/2014,33 47.86  N,063 22.66  W,33.797666666666665
X140721N15.txt,07/21/2014,35 47.64  N,066 14.17  W,35.794
X140709N14.txt,07/09/2014,05 32.41  S,014 51.28  W,-5.540166666666667
X140707N05.txt,07/07/2014,13 40.92  S,005 10.80  W,-13.682
X140707N11.txt,07/07/2014,12 58.11  S,006 03.14  W,-12.9685
X140719N05.txt,07/19/2014,27 47.57  N,055 12.27  W,27.792833333333334
X140717N28.txt,07/17/2014,23 36.12  N,049 45.29  W,23.602
X140710N21.txt,07/10/2014,01 03.00  S,020 06.56  W,-1.05
X140719N11.txt,07/19/2014,28 38.98  N,056 19.97  W,28.64966666666667
X140717N14.txt,07/17/2014,22 09.91  N,047 56.25  W,22.165166666666668
X140710N09.txt,07/10/2014,02 47.68  S,018 04.82  W,-2.7946666666666666
X140712N24.txt,07/12/2014,06 48.42  N,029 19.24  W,6.807
X140712N18.txt,07/12/2014,05 57.34  N,028 19.19  W,5.955666666666667
X140715N11.txt,07/15/2014,15 04.61  N,039 10.67  W,15.076833333333333
X140715N05.txt,07/15/2014,14 12.57  N,038 08.35  W,14.2095
X140702N21.txt,07/02/2014,28 23.28  S,012 29.65  E,-28.388
X140702N09.txt,07/02/2014,30 16.25  S,014 25.26  E,-30.270833333333332
X140705N14.txt,07/05/2014,18 56.60  S,001 13.42  E,-18.943333333333335
X140705N15.txt,07/05/2014,18 48.28  S,001 02.58  E,-18.804666666666666
X140705N01.txt,07/05/2014,20 49.73  S,003 33.83  E,-20.828833333333332
X140702N08.txt,07/02/2014,30 26.38  S,014 36.09  E,-30.439666666666668
X140702N20.txt,07/02/2014,28 32.66  S,012 38.59  E,-28.544333333333334
X140715N04.txt,07/15/2014,14 03.99  N,037 57.86  W,14.0665
X140712N19.txt,07/12/2014,06 06.36  N,028 29.33  W,6.106
X140715N10.txt,07/15/2014,14 55.83  N,039 00.23  W,14.9305
X140710N08.txt,07/10/2014,02 56.22  S,017 54.51  W,-2.937
X140717N01.txt,07/17/2014,20 24.27  N,045 42.50  W,20.4045
X140717N15.txt,07/17/2014,22 17.31  N,048 05.36  W,22.2885
X140719N10.txt,07/19/2014,28 30.11  N,056 08.29  W,28.501833333333334
X140719N04.txt,07/19/2014,27 39.42  N,055 00.73  W,27.657
X140710N20.txt,07/10/2014,01 11.92  S,019 56.41  W,-1.1986666666666665
X140707N10.txt,07/07/2014,12 58.66  S,006 02.45  W,-12.977666666666666
X140707N04.txt,07/07/2014,13 49.37  S,005 01.51  W,-13.822833333333334
X140709N01.txt,07/09/2014,07 25.52  S,012 38.31  W,-7.425333333333334
X140709N15.txt,07/09/2014,05 23.88  S,015 01.55  W,-5.398
X140721N14.txt,07/21/2014,35 39.00  N,066 02.12  W,35.65
X140721N16.txt,07/21/2014,35 56.49  N,066 26.88  W,35.9415
X140721N02.txt,07/21/2014,33 56.63  N,063 35.45  W,33.94383333333333
X140709N03.txt,07/09/2014,07 07.81  S,012 59.03  W,-7.130166666666667
X140709N17.txt,07/09/2014,05 05.56  S,015 22.27  W,-5.092666666666666
X140707N12.txt,07/07/2014,12 50.24  S,006 12.76  W,-12.837333333333333
X140707N06.txt,07/07/2014,13 32.24  S,005 20.99  W,-13.537333333333333
X140719N12.txt,07/19/2014,28 47.68  N,056 31.86  W,28.794666666666668
X140710N22.txt,07/10/2014,00 54.00  S,020 16.62  W,-0.9
X140719N06.txt,07/19/2014,27 55.74  N,055 23.77  W,27.929
X140717N03.txt,07/17/2014,20 41.46  N,046 04.81  W,20.691
X140717N17.txt,07/17/2014,22 20.05  N,048 08.66  W,22.33416666666667
X140715N06.txt,07/15/2014,14 21.49  N,038 18.58  W,14.358166666666667
X140715N12.txt,07/15/2014,15 13.48  N,039 21.02  W,15.224666666666666
X140702N22.txt,07/02/2014,28 12.95  S,012 19.87  E,-28.215833333333332
X140705N17.txt,07/05/2014,18 31.85  S,000 41.14  E,-18.530833333333334
X140705N03.txt,07/05/2014,20 32.40  S,003 11.90  E,-20.54
X140705N02.txt,07/05/2014,20 39.91  S,003 21.44  E,-20.665166666666668
X140705N16.txt,07/05/2014,18 40.19  S,000 51.83  E,-18.669833333333333
X140702N23.txt,07/02/2014,28 03.12  S,012 09.85  E,-28.052
X140715N13.txt,07/15/2014,15 22.41  N,039 31.45  W,15.3735
X140715N07.txt,07/15/2014,14 30.42  N,038 28.68  W,14.507
X140717N16.txt,07/17/2014,22 19.04  N,048 07.43  W,22.317333333333334
X140717N02.txt,07/17/2014,20 32.93  N,045 53.54  W,20.548833333333334
X140710N23.txt,07/10/2014,00 45.43  S,020 26.98  W,-0.7571666666666667
X140719N07.txt,07/19/2014,28 05.12  N,055 36.14  W,28.085333333333335
X140719N13.txt,07/19/2014,28 56.34  N,056 43.91  W,28.939
X140707N07.txt,07/07/2014,13 23.86  S,005 31.45  W,-13.397666666666666
X140707N13.txt,07/07/2014,12 41.62  S,006 23.14  W,-12.693666666666667
X140709N16.txt,07/09/2014,05 14.71  S,015 11.80  W,-5.245166666666667
X140709N02.txt,07/09/2014,07 16.72  S,012 48.53  W,-7.278666666666667
X140721N03.txt,07/21/2014,34 05.26  N,063 47.89  W,34.087666666666664
X140721N17.txt,07/21/2014,35 57.30  N,066 28.07  W,35.955
X140721N13.txt,07/21/2014,35 30.70  N,065 50.59  W,35.51166666666666
X140721N07.txt,07/21/2014,34 39.32  N,064 36.52  W,34.65533333333333
X140707N17.txt,07/07/2014,12 06.04  S,007 04.37  W,-12.100666666666667
X140707N03.txt,07/07/2014,13 58.38  S,004 50.63  W,-13.973
X140709N06.txt,07/09/2014,06 41.49  S,013 30.19  W,-6.6915
X140709N12.txt,07/09/2014,05 49.82  S,014 31.62  W,-5.830333333333334
X140717N06.txt,07/17/2014,21 08.15  N,046 37.68  W,21.135833333333334
X140717N12.txt,07/17/2014,21 59.70  N,047 43.02  W,21.995
X140719N17.txt,07/19/2014,29 31.08  N,057 30.00  W,29.518
X140719N03.txt,07/19/2014,27 30.67  N,054 49.61  W,27.511166666666668
X140715N03.txt,07/15/2014,13 55.74  N,037 47.28  W,13.929
X140715N17.txt,07/15/2014,15 55.88  N,040 12.72  W,15.931333333333333
X140712N22.txt,07/12/2014,06 31.82  N,028 59.56  W,6.530333333333333
X140705N12.txt,07/05/2014,19 13.57  S,001 34.24  E,-19.226166666666668
X140705N06.txt,07/05/2014,20 06.04  S,002 39.23  E,-20.100666666666665
