Latitude,MLD,Profile
33.797666666666665,82.62,X140709N14.txt
35.794,0.67,X140707N05.txt
-5.540166666666667,73.33,X140707N11.txt
-13.682,32.73,X140719N05.txt
-12.9685,46.06,X140717N28.txt
27.792833333333334,38.07,X140710N21.txt
23.602,30.73,X140719N11.txt
-1.05,55.38,X140717N14.txt
28.64966666666667,53.38,X140710N09.txt
22.165166666666668,38.07,X140712N24.txt
-2.7946666666666666,46.06,X140712N18.txt
6.807,64.69,X140715N11.txt
5.955666666666667,0.67,X140715N05.txt
15.076833333333333,61.37,X140702N21.txt
14.2095,85.28,X140702N09.txt
-28.388,93.23,X140705N14.txt
-30.270833333333332,98.53,X140705N15.txt
-18.943333333333335,87.27,X140705N01.txt
-18.804666666666666,72.66,X140702N08.txt
-20.828833333333332,85.28,X140702N20.txt
-30.439666666666668,48.72,X140715N04.txt
-28.544333333333334,46.06,X140712N19.txt
14.0665,58.04,X140715N10.txt
6.106,48.06,X140710N08.txt
14.9305,62.03,X140717N01.txt
-2.937,33.4,X140719N10.txt
20.4045,24.73,X140719N04.txt
22.2885,34.73,X140710N20.txt
28.501833333333334,66.02,X140707N10.txt
27.657,91.91,X140707N04.txt
-1.1986666666666665,79.97,X140709N01.txt
-12.977666666666666,73.33,X140709N15.txt
-13.822833333333334,23.39,X140721N14.txt
-7.425333333333334,78.64,X140709N03.txt
-5.398,51.39,X140709N17.txt
35.65,72.66,X140707N12.txt
35.9415,87.27,X140707N06.txt
33.94383333333333,28.73,X140719N12.txt
-7.130166666666667,39.4,X140710N22.txt
-5.092666666666666,34.73,X140719N06.txt
-12.837333333333333,48.06,X140717N03.txt
-13.537333333333333,0.67,X140717N17.txt
28.794666666666668,50.72,X140715N06.txt
-0.9,50.06,X140715N12.txt
27.929,89.92,X140702N22.txt
20.691,101.85,X140705N03.txt
22.33416666666667,84.61,X140705N02.txt
14.358166666666667,89.92,X140705N16.txt
15.224666666666666,101.18,X140702N23.txt
-28.215833333333332,62.03,X140715N13.txt
-18.530833333333334,60.04,X140715N07.txt
-20.54,34.07,X140717N16.txt
-20.665166666666668,66.69,X140717N02.txt
-18.669833333333333,38.07,X140710N23.txt
-28.052,32.73,X140719N07.txt
15.3735,22.06,X140719N13.txt
14.507,76.65,X140707N07.txt
22.317333333333334,90.58,X140707N13.txt
20.548833333333334,71.34,X140709N16.txt
-0.7571666666666667,73.99,X140709N02.txt
28.085333333333335,24.73,X140721N03.txt
28.939,22.06,X140721N17.txt
-13.397666666666666,21.39,X140721N13.txt
-12.693666666666667,24.06,X140721N07.txt
-5.245166666666667,77.98,X140707N17.txt
-7.278666666666667,90.58,X140707N03.txt
34.087666666666664,83.29,X140709N06.txt
35.955,80.63,X140709N12.txt
35.51166666666666,57.38,X140717N06.txt
34.65533333333333,48.72,X140717N12.txt
-12.100666666666667,26.73,X140719N17.txt
-13.973,22.72,X140719N03.txt
-6.6915,44.73,X140715N03.txt
-5.830333333333334,66.02,X140715N17.txt
21.135833333333334,46.73,X140712N22.txt
21.995,92.57,X140705N12.txt
29.518,84.61,X140705N06.txt
27.511166666666668,0.67,X140705N07.txt
13.929,96.55,X140705N13.txt
15.931333333333333,38.73,X140712N23.txt
6.530333333333333,68.01,X140715N16.txt
-19.226166666666668,68.68,X140715N02.txt
-20.100666666666665,0.67,X140719N02.txt
-19.955833333333334,20.72,X140719N16.txt
-19.082,37.4,X140717N13.txt
6.6706666666666665,0.67,X140717N07.txt
15.786666666666667,83.29,X140709N13.txt
13.789,76.65,X140709N07.txt
27.365666666666666,99.2,X140707N02.txt
29.371666666666666,85.28,X140707N16.txt
22.1425,23.39,X140721N06.txt
21.274166666666666,21.39,X140721N12.txt
-5.683833333333333,24.73,X140721N04.txt
-6.545,86.6,X140707N14.txt
-14.113333333333333,78.64,X140709N11.txt
-12.250333333333334,73.99,X140709N05.txt
34.51266666666667,46.73,X140710N18.txt
35.37,60.04,X140717N11.txt
34.230666666666664,54.71,X140717N05.txt
35.09016666666667,33.4,X140710N24.txt
-12.547666666666666,17.38,X140719N14.txt
-5.972333333333333,56.71,X140715N14.txt
-6.838,89.26,X140712N09.txt
-1.4871666666666667,48.06,X140712N21.txt
21.85033333333333,96.55,X140705N05.txt
20.988333333333333,97.87,X140705N11.txt
-0.6170000000000001,77.31,X140702N18.txt
29.085333333333335,94.56,X140702N24.txt
15.508833333333333,82.62,X140705N10.txt
4.679833333333333,65.36,X140702N19.txt
6.3915,91.24,X140705N04.txt
-20.248166666666666,35.4,X140712N20.txt
-19.370166666666666,95.22,X140712N08.txt
-28.884333333333334,52.05,X140715N01.txt
